Move Female Deer,Go Doe,thinkable
,,
24 hours with toys,Play Day,thinkable
,,
50% giggle,Half Laugh,thinkable
,,
A totally cool dad,Rad Dad,thinkable
,,
A birds foot defect,Claw Flaw,thinkable
,,
A blue-green moray,Teal Eel,thinkable
,,
A boring Choo-choo,Plain Train,thinkable
,,
A boy slug with a shell,Male Snail,thinkable
,,
A cap that got sat on,Flat Hat,thinkable
,,
A cloudy 24 hours,Gray Day,thinkable
,,
A contest for who ties their shoes the fastest,Lace Race,thinkable
,,
A daring removal of hair from the face,Brave Shave,thinkable
,,
A fake formal dance,False Waltz,thinkable
,,
A farm house used to store the favorite string,Yarn Barn,thinkable
,,
A feathered animals droppings,Bird Turd,thinkable
,,
A fragile end of the finger,Frail Nail,thinkable
,,
A green mineral made into a cutting device,Jade Blade,thinkable
,,
A happy post high school student,Glad Grad,thinkable
,,
A keen eyed bird's discussion,Hawk Talk,thinkable
,,
A large branch,Big Twig,thinkable
,,
A literary theif,Book Crook,thinkable
,,
A naked sitting device,Bare Chair,thinkable
,,
A literature hiding place,Book Nook,thinkable
,,
An uncooked animals foot,Raw Paw,thinkable
,,
A pig meat rip off,Ham Scam,thinkable
,,
A prison for Moby,Whale Jail,thinkable
,,
A promise to grow,Growth Oath,thinkable
,,
A quick explosion,Fast Blast,thinkable
,,
A run for the money,Cash Dash,thinkable
,,
A sack for holding Old Glory,Flag Bag,thinkable
,,
A sleeping device made out of toast,Bread Bed,thinkable
,,
A slim member of the onion family,Sleek Leek,thinkable
,,
A spoiled feline,Cat Brat,thinkable
,,
A sport with fire,Flame Game,thinkable
,,
A sun kissed male,Tan Man,thinkable
,,
A terrible dad,Bad Dad,thinkable
,,
A tool for chopping blocks of paraffin,Wax Axe,thinkable
,,
A twisted penny,Bent Cent,thinkable
,,
A washed legume,Clean Bean,thinkable
,,
A weirdo from Athens,Greek Freak,thinkable
,,
Final actors,Last Cast,thinkable
,,
Gadget idiot,Tool Fool,thinkable
,,
Grizzly carnival,Fair Bear,thinkable
,,
Good cost,Nice Price,thinkable
,,
Greatest visitor,Best Guest,thinkable
,,
Flying fear,Flight Fright,thinkable
,,
Footwear Adhesive,Shoe Glue,thinkable
,,
Fry literature,Cook Book,thinkable
,,
Frog signal,Toad Code,thinkable
,,
Happy father,Glad Dad,thinkable
,,
Final explosion,Last Blast,thinkable
,,
Fresh adhesive,New Glue,thinkable
,,
Fuzzy fruit lecture,Peach Speech,thinkable
,,
Finest bird home,Best Next,thinkable
,,
Tone down your dishonor,Tame Shame,thinkable
,,
Nightlike playground,Dark Park,thinkable
,,
Girl friend,Gal Pal,thinkable
,,
Following written work,Next Text,thinkable
,,
Goofy flower,Silly Lily,thinkable
,,
Food sale,Meal Deal,thinkable
,,
Head policeman,Top Cop,thinkable
,,
Insect carpet,Bug Rug,thinkable
,,
Insect carriage,Roach Coach,thinkable
,,
Horse gaze,Mare Stare,thinkable
,,
Home mate,House Spouse,thinkable
,,
Jail odor,Cell Smell,thinkable
,,
Intelligent body organ,Smart Heart,thinkable
,,
Jelly made from a shell fish,Clam Jam,thinkable
,,
Heavy metal sleigh,Lead Sled,thinkable
,,
Hog dance,Pig Jig,thinkable
,,
Household hair tool,Home Comb,thinkable
,,
Impoverished shop,Poor Store,thinkable
,,
King Bozo'z head gear,Clown Crown,thinkable
,,
Just purchased loafer,New Shoe,thinkable
,,
How ocme tears,Why Cry,thinkable
,,
King rodents,Nice Mice,thinkable
,,
Just purchased church seat,New Pew,thinkable
,,
Ice demand payment,Frost Cost,thinkable
,,
Colorless escargot,Pale Snail,thinkable
,,
In-line fence door,Straight Gate,thinkable
,,
Sad church song,Grim Hymn,thinkable
,,
Scalding cauldron,Hot Pot,thinkable
,,
Sheep jelly,Lamb Jam,thinkable
,,
Short sorrow,Brief Grief,thinkable
,,
Solar joke,Sun Pun,thinkable
,,
Snail pace performance,Slow Show,thinkable
,,
"Single, 2000 pounds",One Ton,thinkable
,,
Sick want,Ill Will,thinkable
,,
Silent piccolo,Mute Flute,thinkable
,,
Skinny smile,Thin Grin,thinkable
,,
Smart award,Wize Prize,thinkable
,,
Sodium safe,Salt Vault,thinkable
,,
Solar enjoyment,Sun Fun,thinkable
,,
Serpent dessert,Snake Cake,thinkable
,,
Sea lion cry,Seal Squeal,thinkable
,,
Large boat suggestion,Ship Tip,thinkable
,,
Silent fighting,Quiet Riot,thinkable
,,
Skinny adolescent,Lean Teen,thinkable
,,
"Sniff, great",Smell Swell,thinkable
,,
Salmon plate,Fish Dish,thinkable
,,
Sour beginning,Tart Start,thinkable
,,
The boy's test,His Quiz,thinkable
,,
Tanned circuse entertainer,Brown Clown,thinkable
,,
